작품명,방송일자,시청률,방영연도,월,일,회차,연속방송
가면의 여왕,2023-05-02,2.413,2023,5,2,4,1
가면의 여왕,2023-05-08,2.482,2023,5,8,5,1
가면의 여왕,2023-05-09,2.423,2023,5,9,6,1
가면의 여왕,2023-05-15,2.635,2023,5,15,7,1
가면의 여왕,2023-05-16,2.892,2023,5,16,8,1
가면의 여왕,2023-05-22,2.591,2023,5,22,9,1
가면의 여왕,2023-05-23,2.65,2023,5,23,10,1
가면의 여왕,2023-05-29,2.869,2023,5,29,11,1
가면의 여왕,2023-05-30,3.084,2023,5,30,12,1
가면의 여왕,2023-06-05,2.819,2023,6,5,13,1
가면의 여왕,2023-06-06,3.107,2023,6,6,14,1
가면의 여왕,2023-06-12,2.28,2023,6,12,15,1
가면의 여왕,2023-06-13,3.349,2023,6,13,16,1
가슴이 뛴다,2023-06-26,4.1,2023,6,26,1,1
가슴이 뛴다,2023-06-27,3.5,2023,6,27,2,1
가슴이 뛴다,2023-07-03,3.3,2023,7,3,3,1
가슴이 뛴다,2023-07-04,3.6,2023,7,4,4,1
가슴이 뛴다,2023-07-10,2.8,2023,7,10,5,1
가슴이 뛴다,2023-07-11,3.1,2023,7,11,6,1
가슴이 뛴다,2023-07-17,2.9,2023,7,17,7,1
가슴이 뛴다,2023-07-18,2.8,2023,7,18,8,1
가슴이 뛴다,2023-07-24,,2023,7,24,9,1
가슴이 뛴다,2023-07-25,,2023,7,25,10,1
가슴이 뛴다,2023-07-31,,2023,7,31,11,1
가슴이 뛴다,2023-08-01,,2023,8,1,12,1
가슴이 뛴다,2023-08-07,,2023,8,7,13,1
가슴이 뛴다,2023-08-08,,2023,8,8,14,1
가슴이 뛴다,2023-08-14,,2023,8,14,15,1
가슴이 뛴다,2023-08-15,,2023,8,15,16,1
간 떨어지는 동거,2021-05-26,5.282,2021,5,26,1,1
간 떨어지는 동거,2021-05-27,4.279,2021,5,27,2,1
간 떨어지는 동거,2021-06-02,4.123,2021,6,2,3,1
간 떨어지는 동거,2021-06-03,4.354,2021,6,3,4,1
간 떨어지는 동거,2021-06-09,4.304,2021,6,9,5,1
간 떨어지는 동거,2021-06-10,3.688,2021,6,10,6,1
간 떨어지는 동거,2021-06-16,3.159,2021,6,16,7,1
간 떨어지는 동거,2021-06-17,4.238,2021,6,17,8,1
간 떨어지는 동거,2021-06-23,3.374,2021,6,23,9,1
간 떨어지는 동거,2021-06-24,3.772,2021,6,24,10,1
간 떨어지는 동거,2021-06-30,3.691,2021,6,30,11,1
간 떨어지는 동거,2021-07-01,3.476,2021,7,1,12,1
간 떨어지는 동거,2021-07-07,3.234,2021,7,7,13,1
간 떨어지는 동거,2021-07-08,3.549,2021,7,8,14,1
간 떨어지는 동거,2021-07-14,3.625,2021,7,14,15,1
간 떨어지는 동거,2021-07-15,3.982,2021,7,15,16,1
간택 - 여인들의 전쟁,2019-12-14,2.557,2019,12,14,1,1
간택 - 여인들의 전쟁,2019-12-15,2.873,2019,12,15,2,1
간택 - 여인들의 전쟁,2019-12-21,2.556,2019,12,21,3,1
간택 - 여인들의 전쟁,2019-12-22,3.642,2019,12,22,4,1
간택 - 여인들의 전쟁,2020-01-04,3.328,2020,1,4,5,1
간택 - 여인들의 전쟁,2020-01-05,4.266,2020,1,5,6,1
간택 - 여인들의 전쟁,2020-01-11,3.355,2020,1,11,7,1
간택 - 여인들의 전쟁,2020-01-12,4.143,2020,1,12,8,1
간택 - 여인들의 전쟁,2020-01-18,3.986,2020,1,18,9,1
간택 - 여인들의 전쟁,2020-01-19,4.248,2020,1,19,10,1
간택 - 여인들의 전쟁,2020-01-25,2.846,2020,1,25,11,1
간택 - 여인들의 전쟁,2020-01-26,4.075,2020,1,26,12,1
간택 - 여인들의 전쟁,2020-02-01,4.537,2020,2,1,13,1
간택 - 여인들의 전쟁,2020-02-02,4.577,2020,2,2,14,1
간택 - 여인들의 전쟁,2020-02-08,4.237,2020,2,8,15,1
간택 - 여인들의 전쟁,2020-02-09,6.348,2020,2,9,16,1
