작품명,장르,방송 채널,방송 기간,방송 시간,방송 분량,방송 횟수,기획,책임프로듀서,프로듀서,제작사,연출,각본,출연자,이전,다음
국민 여러분!,"범죄, 코미디",KBS 2TV,2019년 4월 1일 ~ 2019년 5월 28일,"매주 월요일, 화요일 밤 10시 ~ 11시 10분",1시간 10분 (1회당 35분 / 2회 연속방송),36부작,문준하 (KBS 드라마본부),"이건준, 노상훈 (KBS 드라마운영팀)",,"몬스터유니온, 원콘텐츠",김정현,한정훈,"최시원, 이유영, 김민정, 태인호, 김의성 외",동네변호사 조들호 2: 죄와 벌 (2019년 1월 7일 ~ 2019년 3월 26일),퍼퓸 (2019년 6월 3일 ~ 2019년 7월 23일)
어쩌다 발견한 하루,"로맨틱 판타지, 로맨스 드라마",MBC,2019년 10월 2일 ~ 2019년 11월 21일,"매주 수, 목 저녁 8:55 ~ 밤 10:05",1시간 10분 (1회당 35분),32부작,김대진,,"남궁성우, 문주희",MBC 드라마본부 래몽래인[1],김상협,"인지혜, 송하영","김혜윤, 로운, 이재욱, 이나은, 정건주, 김영대, 이태리 외",신입사관 구해령 (2019년 7월 17일 ~ 2019년 9월 26일),하자있는 인간들 (2019년 11월 27일 ~ 2020년 1월 16일)
위대한 쇼,드라마,tvN,2019년 8월 26일 ~ 2019년 10월 15일,"매주 월, 화 밤 9시 30분",,16부작,,,,"화이브라더스코리아, 롯데컬처웍스","신용휘, 김정욱",설준석,"송승헌, 이선빈, 임주환 외","60일, 지정생존자 (2019년 7월 1일 ~ 2019년 8월 20일)",유령을 잡아라! (2019년 10월 21일 ~ 2019년 12월 10일)
유령을 잡아라,드라마,tvN,2019년 10월 21일 ~ 2019년 12월 10일,"매주 월, 화 밤 9시 30분",,16부작,스튜디오드래곤,,,로고스 필름 (주),신윤섭,"소원, 이영주","문근영, 김선호 외",위대한 쇼 (2019년 8월 26일 ~ 2019년 10월 15일),블랙독 (2019년 12월 16일 ~ 2020년 2월 4일)
달리는 조사관,휴먼,OCN,2019년 9월 18일 ~ 2019년 10월 31일,"매주 수요일, 목요일 밤 11시",60분,14부작,스튜디오드래곤,,,데이드림엔터테인먼트,김용수,백정철,"이요원, 최귀화 외",미스터 기간제  (2019년 7월 17일 ~ 2019년 9월 5일),-
보좌관 2,,,,,,,,,,,,,,,
동백꽃 필 무렵,"멜로, 휴머니즘, 스릴러",KBS 2TV,2019년 9월 18일 ~ 2019년 11월 21일,"매주 수요일, 목요일 밤 10:00 ~ 11:10",1시간 10분 (1회당 35분),40부작 + 스페셜 4부작,황의경 (KBS 드라마본부),"이건준, 노상훈 (KBS 드라마운영팀)",윤재혁,팬 엔터테인먼트,"차영훈, 강민경",임상춘,"공효진, 강하늘, 김지석, 지이수, 손담비 외",저스티스 (2019년 7월 17일 ~ 2019년 9월 5일),99억의 여자 (2019년 12월 4일 ~ 2020년 1월 23일)
검사내전,드라마,JTBC,2019년 12월 16일 ~ 2020년 2월 11일,"매주 월요일, 화요일 밤 9시 30분",70분,16부작,JTBC,,,(주)에스피스,이태곤,,"이선균, 정려원, 이성재, 이상희 외",보좌관 - 세상을 움직이는 사람들 시즌2 (2019년 11월 11일 ~ 2019년 12월 10일),날씨가 좋으면 찾아가겠어요 (2020년 2월 24일 ~ 2020년 4월 21일)
VIP,프라이빗 오피스 멜로,SBS,2019년 10월 28일 ~ 2019년 12월 24일,"매주 월, 화 밤 10:00 ~ 11:10","70분 (1부 40분, 2부 30분 분할 방영)",16부작,이용석,,이옥규,더스토리웍스,이정림,차해원,"장나라, 이상윤, 이청아 외",17세의 조건 (2019년 8월 5일 ~ 2019년 8월 6일),낭만닥터 김사부 2 (2020년 1월 6일 ~ 2020년 2월 25일)
눈이 부시게,"로맨스, 판타지",JTBC,2019년 2월 11일 ~ 2019년 3월 19일,"매주 월, 화 밤 9:30",,12부작,,김지연,,드라마하우스,김석윤,"이남규, 김수진","김혜자, 한지민, 남주혁 외",일단 뜨겁게 청소하라 (2018년 11월 26일 ~ 2019년 2월 4일),으라차차 와이키키 2 (2019년 3월 25일 ~ 2019년 5월 14일)
아이템,,,,,,,,,,,,,,일단 뜨겁게 청소하라 (2018년 11월 26일 ~ 2019년 2월 4일),으라차차 와이키키 2 (2019년 3월 25일 ~ 2019년 5월 14일)
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
해치,"사극, 미스터리 수사물",SBS,2019년 2월 11일 ~ 2019년 4월 30일,"매주 월, 화 밤 10:00 ~ 11:10",70분 (1회당 35분 / 2회 연속 방송),48부작,,박영수,SBS 드라마운영팀,(주)김종학프로덕션,이용석,,"정일우, 고아라, 권율, 박훈, 이경영, 정문성, 배정화, 한상진 외",복수가 돌아왔다  (2018년 12월 10일 ~ 2019년 2월 4일),초면에 사랑합니다  (2019년 5월 6일 ~ 2019년 6월 25일)
